source,target
Education,教育
Teaching,教学
Learning,学习
Study,学习
Research,研究
Academic,学术的
Scholarly,学术的
Pedagogical,教学的
Curriculum,课程
Syllabus,教学大纲
Program,课程
Major,专业
Minor,辅修
Degree,学位
Bachelor's degree,学士学位
Master's degree,硕士学位
Doctorate,博士学位
PhD,哲学博士
Diploma,文凭
Certificate,证书
School,学校
University,大学
College,学院
Institute,研究所
Academy,学院
Kindergarten,幼儿园
Primary school,小学
Middle school,中学
High school,高中
Vocational school,职业学校
Technical school,技术学校
Art school,艺术学校
Music school,音乐学校
Language school,语言学校
Online school,在线学校
Distance learning,远程教育
E-learning,在线学习
Blended learning,混合式学习
Teacher,教师
Professor,教授
Lecturer,讲师
Instructor,讲师
Tutor,导师
Student,学生
Pupil,小学生
Graduate student,研究生
Undergraduate,本科生
Freshman,大一学生
Sophomore,大二学生
Junior,大三学生
Senior,大四学生
Class,班级
Grade,年级
Classroom,教室
Lecture hall,讲堂
Laboratory,实验室
Library,图书馆
Campus,校园
Dormitory,宿舍
Cafeteria,食堂
Gymnasium,体育馆
Auditorium,礼堂
Subject,学科
Course,课程
Lecture,讲座
Seminar,研讨会
Workshop,工作坊
Tutorial,辅导课
Assignment,作业
Homework,家庭作业
Project,项目
Thesis,论文
Dissertation,学位论文
Research paper,研究论文
Presentation,演示
Exam,考试
Test,测验
Quiz,小测验
Midterm,期中考试
Final,期末考试
Score,分数
Mark,分数
Pass,及格
Fail,不及格
Credit,学分
GPA,平均绩点
Transcript,成绩单
Scholarship,奖学金
Grant,助学金
Fellowship,研究金
Tuition,学费
Fee,费用
Textbook,教科书
Workbook,练习册
Notebook,笔记本
Stationery,文具
Pen,钢笔
Pencil,铅笔
Paper,纸
Desk,课桌
Chair,椅子
Blackboard,黑板
Whiteboard,白板
Projector,投影仪
Computer,电脑
Tablet,平板电脑
Smartphone,智能手机
Internet,互联网
Wi-Fi,无线网络
Email,电子邮件
Website,网站
Platform,平台
Software,软件
Application,应用程序
