source,target
Steam,Steam
Epic Games,Epic Games
PlayStation,PlayStation
Xbox,Xbox
Switch,Switch
Handheld,掌机
Game title,游戏名称
Genre,游戏类型
Action,动作
Adventure,冒险
RPG,角色扮演
Strategy,策略
Sports,体育
Racing,竞速
Fighting,格斗
Shooter,射击
Puzzle,解谜
Simulation,模拟
MMO,大型多人在线
Indie,独立游戏
AAA,3A大作
DLC,可下载内容
Expansion,扩展包
Glitch,故障
Soundtrack,配乐
Voice acting,配音
Cutscene,过场动画
Tutorial,教程
Trophy,奖杯
Achievement,成就
Save,存档
Load,读档
Checkpoint,检查点
Boss,首领
Companion,伙伴
Party,队伍
Race,种族
Skill,技能
Ability,能力
Item,物品
Equipment,装备
Weapon,武器
Armor,防具
Consumable,消耗品
Currency,货币
Experience,经验值
Level up,升级
Quest,任务
Mission,任务
Objective,目标
Reward,奖励
Loot,战利品
Drop,掉落
Craft,制作
Trade,交易
Shop,商店
Inventory,背包
HUD,界面
Joystick,摇杆
Trigger,扳机
Multiplayer,多人游戏
Co-op,合作
PvP,玩家对战
PvE,玩家对环境
Ranked,排位
Casual,休闲
Tournament,锦标赛
Match,比赛
Round,回合
Squad,小队
Guild,公会
Clan,氏族
