source,target
Feature film,故事片
Short film,短片
Documentary,纪录片
Animation,动画片
Live action,真人电影
Silent film,默片
Sound film,有声电影
Color film,彩色电影
Black and white,黑白电影
3D film,3D电影
IMAX,IMAX电影
Director,导演
Producer,制片人
Screenwriter,编剧
Lead actor,主演
Supporting actor,配角
Cameo,客串
Extra,群众演员
Stunt double,替身演员
Cinematographer,摄影师
Editor,剪辑师
Sound designer,音效设计师
Composer,配乐师
Art director,美术指导
Costume designer,服装设计师
Makeup artist,化妆师
Set designer,布景设计师
Location manager,外景经理
Casting director,选角导演
Script supervisor,场记
Gaffer,灯光师
Best boy,灯光助理
Key grip,摄影机操作员
Camera operator,摄影师
Focus puller,跟焦员
Boom operator,录音师
Props master,道具师
Set decorator,布景装饰师
Production designer,美术指导
Visual effects,视觉效果
Special effects,特效
CGI,电脑特效
Green screen,绿幕
Blue screen,蓝幕
Motion capture,动作捕捉
Storyboard,分镜脚本
Shot list,镜头清单
Take,镜头
Cut,剪辑
Close-up,特写
Medium shot,中景
Long shot,远景
Establishing shot,定场镜头
Tracking shot,跟拍镜头
Pan shot,摇镜头
Tilt shot,俯仰镜头
Dolly shot,推轨镜头
Crane shot,升降镜头
Aerial shot,航拍镜头
Point of view shot,主观镜头
Over the shoulder shot,过肩镜头
Two shot,双人镜头
Group shot,群像镜头
Roll camera,开机
Speed,开始
Wrap,收工
Sound stage,录音棚
Backlot,外景场地
Set dressing,布景装饰
Wardrobe,服装间
Dolly,推轨
Crane,升降机
Boom pole,话筒杆
Call sheet,通告单
