source,target
Body,机身
Sensor,传感器
Viewfinder,取景器
LCD,液晶屏
Metering,测光
Focus,对焦
Autofocus,自动对焦
Manual focus,手动对焦
SD card,SD卡
CF card,CF卡
RAW,原始格式
JPEG,JPEG格式
Megapixel,百万像素
Full frame,全画幅
APS-C,APS-C画幅
Micro Four Thirds,微单
Focal length,焦距
Zoom,变焦
Prime,定焦
Wide angle,广角
Telephoto,长焦
Macro,微距
Street,街拍
Wildlife,野生动物
Natural light,自然光
Artificial light,人造光
Flash light,闪光
Continuous light,持续光
Soft light,柔光
Hard light,硬光
Backlight,逆光
Side light,侧光
Front light,顺光
Composition,构图
Rule of thirds,三分法
Leading lines,引导线
Framing,框架
Symmetry,对称
Balance,平衡
Depth,深度
Perspective,透视
Angle,角度
Viewpoint,视点
Enlargement,放大
