source,target
Python,Python
JavaScript,JavaScript
TypeScript,TypeScript
Java,Java
Rust,Rust
Swift,Swift
Kotlin,Kotlin
Ruby,Ruby
PHP,PHP
MATLAB,MATLAB
SQL,SQL
HTML,HTML
CSS,CSS
Shell,Shell
Database,数据库
Cache,缓存
Debug,调试
Framework,框架
Repository,代码仓库
Middleware,中间件
Protocol,协议
Query,查询
Response,响应
Request,请求
Session,会话
Variable,变量
Class,类
Object,对象
Method,方法
Property,属性
Parameter,参数
Exception,异常
Console,控制台
Terminal,终端
Script,脚本
Module,模块
Package,包
Dependency,依赖
Release,发布
Build,构建
Deploy,部署
Config,配置
Setting,设置
Plugin,插件
Extension,扩展
Layout,布局
Component,组件
Widget,小部件
Template,模板
Encode,编码
Decode,解码
Parse,解析
Render,渲染
Compile,编译
Encryption,加密
Decryption,解密
Authentication,认证
Authorization,授权
Permission,权限
