source,target
GPT,GPT
Claude,Claude
Gemini,Gemini
LLaMA,LLaMA
Mistral,Mistral
OpenAI,OpenAI
Anthropic,Anthropic
Google,Google
DeepMind,DeepMind
Meta,Meta
Microsoft,Microsoft
Amazon,Amazon
Apple,Apple
NVIDIA,NVIDIA
Intel,Intel
AMD,AMD
IBM,IBM
Oracle,Oracle
Salesforce,Salesforce
Adobe,Adobe
Autodesk,Autodesk
Algorithm,算法
Avatar,头像
IP Address,IP 地址
Cloud Computing,云计算
Big Data,大数据
Machine Learning,机器学习
Deep Learning,深度学习
Neural Network,神经网络
Operating System,操作系统
Virtual Machine,虚拟机
Domain Name,域名
Cloud Storage,云存储
Hard Drive,硬盘
Solid State Drive,固态硬盘
User Interface,用户界面
User Experience,用户体验
Firmware,固件
Ethernet,以太网
Database,数据库
Malware,恶意软件
Firewall,防火墙
Pixel,像素
Resolution,分辨率
